,sample_id,cluster_label
0,0,2
1,1,1
2,2,1
3,3,0
4,4,1
5,5,2
6,6,2
7,7,0
8,8,2
9,9,0
10,10,2
11,11,1
12,12,1
13,13,2
14,14,0
15,15,2
16,16,1
17,17,2
18,18,1
19,19,2
20,20,2
21,21,0
22,22,0
23,23,2
24,24,1
25,25,0
26,26,2
27,27,2
28,28,1
29,29,2
30,30,0
31,31,1
32,32,2
33,33,0
34,34,2
35,35,0
36,36,1
37,37,1
38,38,2
39,39,1
40,40,1
41,41,2
42,42,1
43,43,0
44,44,0
45,45,0
46,46,1
47,47,2
48,48,1
49,49,2
50,50,2
51,51,2
52,52,0
53,53,0
54,54,1
55,55,1
56,56,2
57,57,2
58,58,1
59,59,2
60,60,2
61,61,2
62,62,1
63,63,0
64,64,2
65,65,2
66,66,1
67,67,1
68,68,1
69,69,2
70,70,1
71,71,2
72,72,1
73,73,2
74,74,1
75,75,2
76,76,2
77,77,0
78,78,1
79,79,0
80,80,0
81,81,2
82,82,2
83,83,0
84,84,2
85,85,2
86,86,0
87,87,0
88,88,2
89,89,1
90,90,2
91,91,2
92,92,2
93,93,0
94,94,1
95,95,1
96,96,2
97,97,0
98,98,0
99,99,0
100,100,2
101,101,2
102,102,0
103,103,2
104,104,2
105,105,1
106,106,2
107,107,2
108,108,2
109,109,1
110,110,2
111,111,0
112,112,2
113,113,2
114,114,1
115,115,1
116,116,2
117,117,2
118,118,1
119,119,1
120,120,0
121,121,1
122,122,1
123,123,2
124,124,2
125,125,1
126,126,0
127,127,1
128,128,1
129,129,2
130,130,1
131,131,1
132,132,2
133,133,1
134,134,1
135,135,0
136,136,0
137,137,2
138,138,2
139,139,2
140,140,0
141,141,2
142,142,2
143,143,0
144,144,2
145,145,1
146,146,2
147,147,0
148,148,1
149,149,1
150,150,1
151,151,2
152,152,2
153,153,1
154,154,2
155,155,1
156,156,2
157,157,1
158,158,2
159,159,1
160,160,2
161,161,0
162,162,1
163,163,2
164,164,2
165,165,1
166,166,2
167,167,0
168,168,0
169,169,2
170,170,1
171,171,1
172,172,0
173,173,2
174,174,0
175,175,2
176,176,1
177,177,2
178,178,2
179,179,2
180,180,1
181,181,2
182,182,1
183,183,0
184,184,1
185,185,2
186,186,0
187,187,1
188,188,0
189,189,2
190,190,2
191,191,0
192,192,2
193,193,1
194,194,0
195,195,2
196,196,1
197,197,1
198,198,2
199,199,1
200,200,0
201,201,0
202,202,2
203,203,2
204,204,0
205,205,2
206,206,2
207,207,1
208,208,2
209,209,2
210,210,1
211,211,0
212,212,1
213,213,2
214,214,2
215,215,1
216,216,2
217,217,0
218,218,1
219,219,0
220,220,0
221,221,1
222,222,2
223,223,1
224,224,2
225,225,1
226,226,1
227,227,2
228,228,0
229,229,0
230,230,0
231,231,0
232,232,0
233,233,2
234,234,0
235,235,1
236,236,1
237,237,2
238,238,0
239,239,2
240,240,2
241,241,2
242,242,2
243,243,1
244,244,1
245,245,1
246,246,1
247,247,0
248,248,1
249,249,0
250,250,1
251,251,2
252,252,2
253,253,1
254,254,2
255,255,1
256,256,1
257,257,2
258,258,0
259,259,2
260,260,2
261,261,1
262,262,1
263,263,0
264,264,1
265,265,0
266,266,2
267,267,2
268,268,2
269,269,2
270,270,0
271,271,1
272,272,0
273,273,1
274,274,0
275,275,2
276,276,1
277,277,0
278,278,1
279,279,2
280,280,0
281,281,1
282,282,1
283,283,1
284,284,2
285,285,2
286,286,2
287,287,2
288,288,0
289,289,2
290,290,2
291,291,2
292,292,0
293,293,1
294,294,1
295,295,1
296,296,2
297,297,2
298,298,0
299,299,2
300,300,2
301,301,1
302,302,2
303,303,2
304,304,2
305,305,0
306,306,1
307,307,1
308,308,1
309,309,2
310,310,0
311,311,1
312,312,0
313,313,1
314,314,0
315,315,1
316,316,0
317,317,2
318,318,0
319,319,2
320,320,1
321,321,2
322,322,2
323,323,1
324,324,0
325,325,1
326,326,0
327,327,2
328,328,2
329,329,0
330,330,2
331,331,2
332,332,2
333,333,1
334,334,2
335,335,2
336,336,1
337,337,1
338,338,0
339,339,2
340,340,2
341,341,0
342,342,0
343,343,1
344,344,2
345,345,0
346,346,2
347,347,1
348,348,1
349,349,2
350,350,2
351,351,1
352,352,1
353,353,2
354,354,2
355,355,1
356,356,2
357,357,1
358,358,0
359,359,2
360,360,2
361,361,2
362,362,1
363,363,2
364,364,0
365,365,2
366,366,2
367,367,2
368,368,2
369,369,2
370,370,2
371,371,1
372,372,2
373,373,1
374,374,1
375,375,1
376,376,2
377,377,2
378,378,0
379,379,1
380,380,1
381,381,0
382,382,1
383,383,1
384,384,2
385,385,0
386,386,1
387,387,2
388,388,2
389,389,0
390,390,2
391,391,2
392,392,2
393,393,1
394,394,1
395,395,2
396,396,1
397,397,1
398,398,1
399,399,2
400,400,1
401,401,2
402,402,0
403,403,2
404,404,2
405,405,1
406,406,0
407,407,2
408,408,1
409,409,0
410,410,2
411,411,2
412,412,1
413,413,2
414,414,1
415,415,2
416,416,2
417,417,1
418,418,1
419,419,0
420,420,1
421,421,0
422,422,2
423,423,2
424,424,2
425,425,0
426,426,1
427,427,1
428,428,1
429,429,2
430,430,2
431,431,1
432,432,2
433,433,0
434,434,2
435,435,1
436,436,0
437,437,1
438,438,2
439,439,1
440,440,1
441,441,0
442,442,2
443,443,2
444,444,2
445,445,2
446,446,0
447,447,1
448,448,2
449,449,2
450,450,1
451,451,1
452,452,2
453,453,2
454,454,2
455,455,1
456,456,2
457,457,2
458,458,0
459,459,2
460,460,2
461,461,0
462,462,0
463,463,1
464,464,2
465,465,2
466,466,1
467,467,0
468,468,1
469,469,0
470,470,1
471,471,1
472,472,2
473,473,2
474,474,0
475,475,1
476,476,0
477,477,2
478,478,1
479,479,2
480,480,2
481,481,2
482,482,0
483,483,2
484,484,0
485,485,0
486,486,2
487,487,2
488,488,1
489,489,0
490,490,1
491,491,2
492,492,2
493,493,1
494,494,2
495,495,2
496,496,2
497,497,2
498,498,1
499,499,2
500,500,2
501,501,1
502,502,2
503,503,2
504,504,2
505,505,2
506,506,2
507,507,1
508,508,0
509,509,0
510,510,2
511,511,1
512,512,0
513,513,1
514,514,1
515,515,1
516,516,2
517,517,1
518,518,0
519,519,2
520,520,0
521,521,0
522,522,1
523,523,2
524,524,1
525,525,0
526,526,1
527,527,2
528,528,1
529,529,0
530,530,2
531,531,2
532,532,1
533,533,0
534,534,2
535,535,2
536,536,0
537,537,0
538,538,1
539,539,2
540,540,2
541,541,1
542,542,2
543,543,1
544,544,0
545,545,2
546,546,2
547,547,0
548,548,2
549,549,1
550,550,2
551,551,1
552,552,2
553,553,2
554,554,2
555,555,2
556,556,1
557,557,1
558,558,0
559,559,2
560,560,2
561,561,2
562,562,0
563,563,1
564,564,1
565,565,1
566,566,2
567,567,2
568,568,1
569,569,0
570,570,2
571,571,1
572,572,2
573,573,2
574,574,1
575,575,2
576,576,2
577,577,2
578,578,1
579,579,0
580,580,2
581,581,2
582,582,0
583,583,2
584,584,1
585,585,1
586,586,0
587,587,1
588,588,1
589,589,1
590,590,1
591,591,1
592,592,2
593,593,0
594,594,2
595,595,2
596,596,2
597,597,0
598,598,1
599,599,1
600,600,1
601,601,1
602,602,2
603,603,2
604,604,0
605,605,2
606,606,2
607,607,2
608,608,2
609,609,1
610,610,1
611,611,0
612,612,2
613,613,1
614,614,1
615,615,2
616,616,1
617,617,0
618,618,0
619,619,2
620,620,1
621,621,0
622,622,1
623,623,2
624,624,2
625,625,2
626,626,0
627,627,2
628,628,2
629,629,0
630,630,1
631,631,2
632,632,2
633,633,2
634,634,2
635,635,1
636,636,2
637,637,1
638,638,2
639,639,2
640,640,1
641,641,2
642,642,2
643,643,1
644,644,1
645,645,1
646,646,2
647,647,2
648,648,1
649,649,1
650,650,1
651,651,1
652,652,1
653,653,2
654,654,1
655,655,2
656,656,2
657,657,2
658,658,2
659,659,1
660,660,2
661,661,2
662,662,1
663,663,2
664,664,0
665,665,0
666,666,1
667,667,1
668,668,1
669,669,1
670,670,0
671,671,2
672,672,2
673,673,0
674,674,1
675,675,1
676,676,1
677,677,1
678,678,0
679,679,0
680,680,1
681,681,1
682,682,1
683,683,0
684,684,2
685,685,0
686,686,2
687,687,2
688,688,2
689,689,1
690,690,2
691,691,2
692,692,0
693,693,0
694,694,2
695,695,0
696,696,1
697,697,2
698,698,2
699,699,0
700,700,1
701,701,1
702,702,2
703,703,1
704,704,1
705,705,2
706,706,2
707,707,1
708,708,1
709,709,2
710,710,1
711,711,1
712,712,1
713,713,2
714,714,2
715,715,2
716,716,2
717,717,2
718,718,2
719,719,1
720,720,1
721,721,0
722,722,2
723,723,2
724,724,2
725,725,1
726,726,0
727,727,1
728,728,1
729,729,2
730,730,1
731,731,1
732,732,0
733,733,2
734,734,0
735,735,2
736,736,2
737,737,1
738,738,2
739,739,2
740,740,2
741,741,1
742,742,2
743,743,2
744,744,1
745,745,2
746,746,2
747,747,0
748,748,1
749,749,2
750,750,2
751,751,2
752,752,2
753,753,2
754,754,2
755,755,2
756,756,2
757,757,2
758,758,2
759,759,2
760,760,2
761,761,2
762,762,2
763,763,2
764,764,2
765,765,2
766,766,2
767,767,2
768,768,2
769,769,2
770,770,2
771,771,2
772,772,2
773,773,2
774,774,2
775,775,2
776,776,2
777,777,2
778,778,2
779,779,2
780,780,2
781,781,2
782,782,2
783,783,2
784,784,2
785,785,2
786,786,2
787,787,2
788,788,2
789,789,2
790,790,2
791,791,2
792,792,2
793,793,2
794,794,2
795,795,2
796,796,2
797,797,2
798,798,2
799,799,2
800,800,2
801,801,2
802,802,2
803,803,2
804,804,1
805,805,2
806,806,2
807,807,2
808,808,2
809,809,2
810,810,2
811,811,2
812,812,2
813,813,2
814,814,2
815,815,2
816,816,2
817,817,2
818,818,2
819,819,2
820,820,2
821,821,2
822,822,2
823,823,2
824,824,2
825,825,2
826,826,2
827,827,2
828,828,2
829,829,2
830,830,2
831,831,2
832,832,2
833,833,2
834,834,2
835,835,2
836,836,2
837,837,2
838,838,2
839,839,2
840,840,2
841,841,2
842,842,2
843,843,2
844,844,2
845,845,2
846,846,2
847,847,2
848,848,2
849,849,2
850,850,2
851,851,2
852,852,2
853,853,2
854,854,2
855,855,2
856,856,2
857,857,2
858,858,2
859,859,2
860,860,2
861,861,2
862,862,2
863,863,2
864,864,2
865,865,2
866,866,2
867,867,2
868,868,2
869,869,2
870,870,2
871,871,2
872,872,2
873,873,2
874,874,2
875,875,2
876,876,2
